TIME_PERIOD,REF_AREA,High_Pay,Low_Pay
2012,HUN,,17.39
2012,ISR,29.0747310082163,21.829596847118
2012,JPN,,14.2938225649812
2012,KOR,,23.9096329078154
2012,MEX,20.6880608442409,15.9937431959639
2012,NZL,,13.5553003380428
2012,OECD,22.5951460802191,15.0750526723084
2012,POL,,22.4039105729386
2012,SVK,,18.998100189981
2012,USA,,25.2910032312064
2013,AUS,,15.8805478699985
2013,AUT,20.7018643406519,15.8536380532999
2013,BEL,13.8,4.60013203955377
2013,CAN,23.1437563007447,20.9601247133061
2013,CHL,26.1728607688681,11.4814607503536
2013,COL,27.2626656206294,14.0305785829648
2013,CRI,17.3344734879689,14.7231950277384
2013,CZE,,19.9500021945002
2013,DEU,18.917006170157,18.6147400653747
2013,DNK,2.95881308730844,7.88625962900836
2013,FIN,15.9206865987975,9.07225222869386
2013,GBR,,20.5163275773637
2013,HUN,,16.81
2013,ISR,28.6729174328608,22.2145522465155
2013,JPN,,14.2275596448058
2013,KOR,,24.6560474314148
2013,MEX,22.0561131398588,14.2091327012579
2013,NZL,,14.0803059059014
2013,OECD,22.5871716761312,14.8669224932923
2013,SVK,,20
2013,USA,,25.0462772028428
2014,AUS,,14.7529983912524
2014,AUT,20.7778648867229,15.8869886861039
2014,BEL,12.9,3.4
2014,CAN,22.4292113918602,22.4454281498186
2014,CHE,,11.89
2014,COL,26.569568004714,12.627571780821
2014,CRI,19.3448085700541,15.0594348568582
2014,CZE,,20.2600020260002
2014,DEU,18.6609654224303,17.9977574016294
2014,DNK,2.78426069195321,8.41933543002542
2014,ESP,25.9998758982244,9.96666666666666
2014,EST,22.9997619954303,20.4285714285714
2014,FIN,16.5631323827004,8.44907407407407
2014,FRA,20.9998946748772,7.19047619047618
2014,GBR,,20.403825717322
2014,GRC,20.9997567353889,15.9607843137254
2014,HUN,,18.65
2014,IRL,25.9973775484307,17.020202020202
2014,ISL,20.9981533617897,8.22549019607843
2014,ISR,28.6810076370442,23.4650125573918
2014,ITA,18.9999474236601,4.64957264957264
2014,JPN,,13.9081733880832
2014,KOR,,23.7
2014,LTU,25,19.9583333333333
2014,LUX,24.9978116420642,10.5714285714285
2014,LVA,28.9998340157131,21.6666666666666
2014,MEX,22.010602673487,14.7541661324455
2014,NLD,27.9999045735966,6.88372093023255
2014,NZL,,13.8646701704426
2014,OECD,22.5298430990308,14.8011543264224
2014,POL,,22.6
2014,PRT,30.9996140257118,11.5714285714285
2014,SVK,,20
2014,SVN,23.9992252197327,18.7272727272727
2014,TUR,27.999751992914,0.77412280701754
2014,USA,,24.9274818117813
2015,AUS,,15.4360905221714
2015,AUT,20.9069173878462,15.8611061647495
2015,BEL,13.5,4.6
2015,CAN,22.8758506653392,22.1803473660353
2015,CHL,24.9102391468998,12.0963548413267
2015,COL,26.2144476775777,12.742315188188
2015,CRI,18.1636035685921,14.8656085170142
2015,CZE,,20.6500022715002
2015,DEU,19.9496254591357,19.3072645463645
2015,DNK,2.89003873859181,8.23666335549489
2015,FIN,17.045943990127,7.76817579982511
2015,GBR,,19.9806846228136
2015,HUN,,19.78
2015,ISR,29.1934272571436,23.7928164870966
2015,JPN,,13.4636703959383
2015,KOR,,23.5
2015,MEX,20.8321250856312,17.2528672803656
2015,NZL,,13.8906294545685
2015,OECD,22.4786761399517,14.8716331744352
2015,SVK,,19
2015,USA,,25.0208560610922
2016,AUS,,15.632662037025
2016,AUT,20.9486286942175,15.4306909837204
2016,BEL,13.9,4.1
2016,CAN,22.3163248328948,22.3428150427257
2016,CHE,,12.03
2016,COL,25.9815636552018,11.0681307109962
2016,CRI,19.077858774233,14.0441339697513
2016,CZE,,19.7600017784002
2016,DEU,18.211910671855,18.8495748796111
2016,DNK,2.91643226850058,8.23258267523412
2016,FIN,16.5926185617283,7.07586810853079
2016,GBR,,19.2784060312332
2016,HUN,,19.55
